Game Title,User Rating,Age Group Targeted,Price,Platform,Requires Special Device,Developer,Publisher,Release Year,Genre,Multiplayer,Game Length (Hours),Graphics Quality,Soundtrack Quality,Story Quality,User Review Text,Game Mode,Min Number of Players
"Grand Theft Auto V,25.7,Teens,32.27,Nintendo Switch,No,Epic Games,Nintendo,2016,Fighting,No,33.6,Low,Average,Good,""Amazing game, but too many bugs."",Online,2"
"Pok̩mon Scarlet & Violet,32.7,All Ages,37.93,PlayStation,Yes,EA Sports,Square Enix,2014,Fighting,No,41.2,Low,Average,Poor,""Disappointing game, but the graphics could be better."",Offline,3"
"Super Mario Odyssey,46.1,All Ages,59.68,Nintendo Switch,Yes,CD Projekt Red,Electronic Arts,2013,Adventure,No,59.3,High,Average,Excellent,""Amazing game, but the graphics could be better."",Offline,1"
"Bioshock Infinite,38.2,Adults,52.32,Xbox,Yes,EA Sports,Take-Two Interactive,2018,Puzzle,No,46.2,Low,Good,Good,""Great game, but the graphics could be better."",Offline,7"
"League of Legends,23.9,Adults,25.38,Nintendo Switch,No,CD Projekt Red,Epic Games,2016,Strategy,Yes,41.2,Low,Average,Poor,""Great game, but too many bugs."",Offline,3"
"Half-Life: Alyx,44.2,Teens,59.8,PlayStation,No,Rockstar Games,Capcom,2015,Shooter,No,49.9,Ultra,Poor,Poor,""Amazing game, but the gameplay is amazing."",Offline,5"
"Pok̩mon Scarlet & Violet,32.1,All Ages,29.88,Mobile,No,Capcom,Capcom,2011,Simulation,Yes,56.1,Ultra,Excellent,Excellent,""Great game, but the gameplay is amazing."",Offline,4"
"The Elder Scrolls V: Skyrim,36.8,Kids,57.46,PlayStation,Yes,Epic Games,Activision,2022,Action,No,21.1,High,Excellent,Average,""Disappointing game, but the graphics could be better."",Offline,2"
"Street Fighter V,29.0,Kids,29.79,PC,Yes,EA Sports,Capcom,2011,Adventure,No,47.4,Ultra,Good,Excellent,""Great game, but the gameplay is amazing."",Online,3"
"Pillars of Eternity II: Deadfire,28.2,All Ages,33.88,Mobile,Yes,Innersloth,Nintendo,2016,RPG,No,39.2,Ultra,Average,Excellent,""Great game, but the gameplay is amazing."",Offline,8"
"Fortnite,24.7,All Ages,41.05,Xbox,No,Nintendo,Valve,2014,Action,No,7.3,Ultra,Good,Poor,""Amazing game, but too many bugs."",Online,1"
"Kingdom Hearts III,28.7,Kids,24.95,Mobile,Yes,Innersloth,Epic Games,2016,Adventure,Yes,49.0,Medium,Average,Good,""Amazing game, but the graphics could be better."",Online,4"
"Stardew Valley,27.8,Teens,27.8,Xbox,No,Rockstar Games,Nintendo,2016,RPG,Yes,42.7,Medium,Good,Good,""Great game, but the gameplay is amazing."",Offline,7"
"Portal 2,31.1,Kids,46.55,Mobile,No,Capcom,Epic Games,2017,Shooter,No,31.6,High,Good,Excellent,""Amazing game, but the graphics could be better."",Online,1"
"Half-Life: Alyx,26.4,Teens,47.02,Nintendo Switch,No,Innersloth,Innersloth,2012,Shooter,No,14.4,Ultra,Good,Poor,""Great game, but too many bugs."",Offline,4"
"Overwatch 2,40.4,Adults,55.2,Mobile,No,Valve,Nintendo,2010,Sports,No,44.8,Medium,Poor,Poor,""Disappointing game, but the graphics could be better."",Online,7"
"League of Legends,33.4,Teens,32.65,Xbox,Yes,Bungie,Innersloth,2022,Shooter,No,52.1,High,Excellent,Good,""Great game, but too many bugs."",Offline,3"
"Overwatch 2,42.1,All Ages,50.61,PC,No,Rockstar Games,Square Enix,2019,RPG,Yes,50.0,Ultra,Good,Good,""Amazing game, but the gameplay is amazing."",Online,6"
"Grand Theft Auto V,42.7,All Ages,59.52,Xbox,Yes,EA Sports,Valve,2019,Sports,No,38.7,Medium,Average,Poor,""Great game, but the gameplay is amazing."",Online,2"
"Call of Duty: Modern Warfare 2,46.3,All Ages,59.55,Mobile,Yes,Epic Games,Electronic Arts,2010,Strategy,No,57.3,Ultra,Good,Poor,""Disappointing game, but the gameplay is amazing."",Offline,2"
"Fortnite,30.2,Adults,39.08,Nintendo Switch,No,Bungie,Epic Games,2019,Shooter,Yes,33.7,High,Average,Good,""Disappointing game, but the graphics could be better."",Offline,10"
"Sid Meier�۪s Civilization VI,29.4,Teens,34.07,Mobile,Yes,Epic Games,Square Enix,2022,Action,Yes,44.9,High,Good,Average,""Solid game, but the graphics could be better."",Offline,3"
"Rocket League,25.5,Adults,29.39,PlayStation,Yes,Innersloth,Capcom,2021,Strategy,Yes,35.3,Medium,Average,Good,""Disappointing game, but too many bugs."",Online,10"
"Red Dead Redemption 2,35.8,Kids,55.1,Xbox,No,Epic Games,Square Enix,2017,Adventure,No,27.1,Ultra,Poor,Good,""Solid game, but too many bugs."",Offline,10"
"Tomb Raider (2013),25.8,Adults,34.96,PC,Yes,Epic Games,Nintendo,2016,Adventure,No,21.1,Low,Excellent,Average,""Solid game, but the graphics could be better."",Online,3"
"Ghost of Tsushima,23.8,Teens,29.97,Nintendo Switch,No,Innersloth,Nintendo,2013,Action,No,23.5,Medium,Good,Poor,""Disappointing game, but the graphics could be better."",Online,8"
"Mario Kart 8 Deluxe,17.3,All Ages,21.18,PlayStation,Yes,Innersloth,Nintendo,2018,Simulation,No,27.9,Ultra,Good,Excellent,""Great game, but too many bugs."",Offline,7"
"Animal Crossing: New Horizons,22.6,Teens,33.6,PC,No,CD Projekt Red,Innersloth,2015,Puzzle,Yes,19.1,Low,Excellent,Good,""Great game, but the graphics could be better."",Online,8"
"Cuphead,27.6,All Ages,48.41,Mobile,No,Innersloth,Nintendo,2021,RPG,Yes,9.0,Ultra,Excellent,Excellent,""Great game, but the graphics could be better."",Offline,10"
"Animal Crossing: New Horizons,15.2,Teens,20.14,PC,Yes,Bungie,Valve,2023,Action,Yes,16.5,Low,Average,Average,""Great game, but the graphics could be better."",Online,5"
"Ghost of Tsushima,28.7,All Ages,39.24,Mobile,Yes,Valve,Electronic Arts,2017,Sports,No,26.7,Medium,Excellent,Average,""Great game, but the graphics could be better."",Online,1"
"The Legend of Zelda: Breath of the Wild,38.8,All Ages,52.23,Xbox,Yes,Epic Games,Square Enix,2010,Strategy,Yes,36.2,Low,Average,Good,""Solid game, but the gameplay is amazing."",Online,5"
"Ghost of Tsushima,26.2,Kids,42.88,PlayStation,No,Valve,Take-Two Interactive,2010,RPG,Yes,9.5,Ultra,Average,Good,""Disappointing game, but the graphics could be better."",Online,2"
"Pok̩mon Scarlet & Violet,36.5,Adults,35.76,PlayStation,No,Rockstar Games,Epic Games,2015,Shooter,No,57.9,Medium,Average,Average,""Great game, but the graphics could be better."",Offline,4"
"Just Dance 2024,28.5,Adults,40.72,Nintendo Switch,Yes,Valve,Activision,2011,Fighting,Yes,24.0,Medium,Good,Good,""Solid game, but the graphics could be better."",Online,6"
"Super Mario Odyssey,35.8,Adults,47.05,Nintendo Switch,Yes,Valve,Epic Games,2013,RPG,No,36.0,High,Excellent,Poor,""Disappointing game, but the graphics could be better."",Online,8"
"Counter-Strike: Global Offensive,25.2,Kids,46.31,Xbox,No,Nintendo,Activision,2013,Strategy,Yes,11.7,Medium,Average,Good,""Solid game, but the graphics could be better."",Offline,4"
"Sid Meier�۪s Civilization VI,20.4,Teens,32.18,PC,Yes,Nintendo,Nintendo,2020,Puzzle,No,15.4,High,Average,Average,""Solid game, but the gameplay is amazing."",Offline,1"
"Pok̩mon Scarlet & Violet,26.6,Teens,21.63,Mobile,Yes,EA Sports,Take-Two Interactive,2023,Puzzle,Yes,58.2,High,Excellent,Good,""Great game, but too many bugs."",Offline,4"
"Stardew Valley,29.5,Adults,26.19,PC,No,Valve,Valve,2016,Action,No,52.4,Medium,Good,Excellent,""Solid game, but the graphics could be better."",Offline,3"
"Call of Duty: Modern Warfare 2,30.2,Teens,34.84,PlayStation,No,Valve,Take-Two Interactive,2017,Fighting,Yes,48.5,Ultra,Poor,Average,""Solid game, but the graphics could be better."",Offline,2"
"Animal Crossing: New Horizons,26.1,Adults,30.25,Mobile,No,Bungie,Take-Two Interactive,2013,Strategy,Yes,39.0,High,Good,Poor,""Solid game, but the gameplay is amazing."",Offline,10"
"Street Fighter V,36.4,Teens,54.3,PC,Yes,Innersloth,Square Enix,2011,Fighting,Yes,35.3,High,Good,Good,""Great game, but the gameplay is amazing."",Online,7"
"League of Legends,28.1,Teens,25.97,Nintendo Switch,No,Game Freak,Innersloth,2018,Strategy,Yes,52.7,Low,Poor,Average,""Great game, but the gameplay is amazing."",Offline,7"
"Spelunky 2,20.8,Teens,37.23,Mobile,Yes,CD Projekt Red,Capcom,2019,RPG,Yes,12.8,Medium,Average,Excellent,""Great game, but too many bugs."",Online,5"
"FIFA 24,35.6,All Ages,41.95,PC,No,CD Projekt Red,Electronic Arts,2020,Adventure,No,50.7,High,Poor,Poor,""Great game, but too many bugs."",Online,1"
"Counter-Strike: Global Offensive,29.3,Teens,32.2,PC,No,Nintendo,Electronic Arts,2023,Strategy,No,37.7,High,Average,Average,""Disappointing game, but the gameplay is amazing."",Offline,6"
"Just Dance 2024,33.1,Adults,54.71,Mobile,No,Innersloth,Activision,2023,Adventure,No,16.1,Medium,Good,Good,""Disappointing game, but the graphics could be better."",Offline,5"
"Super Mario Odyssey,21.2,Adults,35.25,Mobile,Yes,Game Freak,Valve,2023,Shooter,No,6.8,High,Excellent,Average,""Solid game, but the gameplay is amazing."",Offline,7"
"Among Us,17.6,Adults,22.62,Xbox,No,Capcom,Square Enix,2013,Shooter,Yes,15.8,Medium,Average,Excellent,""Solid game, but the graphics could be better."",Offline,8"
"FIFA 24,27.2,Kids,45.81,Nintendo Switch,No,Game Freak,Capcom,2011,Party,Yes,20.2,High,Average,Good,""Amazing game, but the gameplay is amazing."",Offline,6"
"Super Smash Bros. Ultimate,29.3,All Ages,35.07,Mobile,No,Rockstar Games,Electronic Arts,2014,Action,No,44.5,Low,Excellent,Average,""Amazing game, but the gameplay is amazing."",Offline,4"
"Stardew Valley,33.9,Teens,35.1,Nintendo Switch,Yes,Rockstar Games,Activision,2010,Puzzle,No,48.6,Low,Excellent,Average,""Disappointing game, but the gameplay is amazing."",Offline,7"
"Cuphead,21.7,All Ages,20.46,Mobile,Yes,CD Projekt Red,Electronic Arts,2017,RPG,Yes,39.7,Medium,Poor,Poor,""Great game, but too many bugs."",Offline,3"
"Animal Crossing: New Horizons,38.1,Kids,44.2,Xbox,Yes,Valve,Innersloth,2022,RPG,No,59.2,Medium,Average,Poor,""Solid game, but too many bugs."",Offline,4"
"The Witcher 3: Wild Hunt,32.1,Teens,33.82,Nintendo Switch,No,Rockstar Games,Epic Games,2014,RPG,Yes,54.1,Ultra,Average,Poor,""Great game, but too many bugs."",Offline,5"
"Cuphead,24.4,Kids,24.69,Xbox,No,Nintendo,Nintendo,2022,Puzzle,No,45.1,High,Excellent,Average,""Disappointing game, but too many bugs."",Online,2"
"FIFA 24,30.0,Adults,41.4,Mobile,Yes,Game Freak,Activision,2016,Puzzle,No,29.2,Low,Average,Poor,""Amazing game, but the gameplay is amazing."",Online,3"
"Portal 2,35.0,Adults,32.23,Xbox,Yes,Bungie,Innersloth,2017,Puzzle,Yes,58.2,High,Good,Poor,""Solid game, but the gameplay is amazing."",Offline,4"
"Spelunky 2,21.0,All Ages,29.22,PlayStation,No,Epic Games,Take-Two Interactive,2017,Simulation,No,19.4,High,Poor,Poor,""Disappointing game, but too many bugs."",Offline,5"
"Red Dead Redemption 2,32.5,Adults,36.34,PC,No,CD Projekt Red,Valve,2022,Shooter,Yes,49.1,High,Poor,Average,""Amazing game, but the gameplay is amazing."",Offline,2"
"Pok̩mon Scarlet & Violet,20.6,All Ages,35.46,PlayStation,Yes,Nintendo,Capcom,2015,Sports,Yes,8.1,Low,Average,Average,""Amazing game, but too many bugs."",Online,3"
"Call of Duty: Modern Warfare 2,34.3,Adults,44.0,PlayStation,Yes,Game Freak,Electronic Arts,2011,RPG,Yes,35.3,High,Good,Excellent,""Great game, but the gameplay is amazing."",Offline,10"
"Overwatch 2,26.4,All Ages,34.6,Mobile,No,Epic Games,Square Enix,2020,Adventure,No,30.3,High,Poor,Poor,""Disappointing game, but the graphics could be better."",Offline,5"
"Super Smash Bros. Ultimate,26.8,Adults,37.5,PC,Yes,Capcom,Square Enix,2013,Party,Yes,32.7,Low,Poor,Average,""Solid game, but too many bugs."",Offline,8"
"Bioshock Infinite,15.7,Adults,21.41,Xbox,Yes,Bungie,Take-Two Interactive,2015,Strategy,No,16.8,Low,Poor,Good,""Amazing game, but too many bugs."",Online,1"
"The Witcher 3: Wild Hunt,37.2,Kids,43.43,Mobile,No,Game Freak,Electronic Arts,2022,Fighting,No,57.7,High,Good,Good,""Disappointing game, but the graphics could be better."",Online,2"
"Tomb Raider (2013),23.5,All Ages,19.99,PlayStation,No,Bungie,Innersloth,2015,Party,No,51.7,Low,Average,Excellent,""Great game, but the graphics could be better."",Offline,10"
"Bioshock Infinite,41.4,Kids,49.65,PC,Yes,Valve,Innersloth,2013,Fighting,No,53.0,High,Excellent,Good,""Solid game, but the graphics could be better."",Online,4"
"FIFA 24,29.3,Kids,29.07,PlayStation,No,Game Freak,Square Enix,2014,RPG,No,46.0,Medium,Good,Excellent,""Disappointing game, but too many bugs."",Online,7"
"Street Fighter V,27.8,All Ages,47.08,PlayStation,No,Nintendo,Capcom,2021,RPG,No,16.9,Low,Good,Excellent,""Amazing game, but the graphics could be better."",Offline,1"
"Fortnite,29.7,All Ages,40.85,PlayStation,Yes,Game Freak,Activision,2012,Action,No,32.0,Medium,Excellent,Average,""Solid game, but the graphics could be better."",Offline,8"
"Animal Crossing: New Horizons,42.4,Teens,45.42,Nintendo Switch,No,Capcom,Activision,2017,Party,Yes,59.5,Low,Good,Poor,""Great game, but too many bugs."",Offline,2"
"Tomb Raider (2013),28.2,Kids,36.9,Xbox,Yes,EA Sports,Activision,2019,Sports,No,29.0,Low,Average,Good,""Disappointing game, but the gameplay is amazing."",Online,5"
"FIFA 24,31.4,All Ages,50.6,PC,Yes,EA Sports,Take-Two Interactive,2017,RPG,Yes,20.1,Low,Average,Good,""Great game, but the gameplay is amazing."",Offline,10"
"Overwatch 2,17.1,Adults,31.81,Nintendo Switch,Yes,Rockstar Games,Innersloth,2013,Fighting,Yes,7.2,High,Average,Poor,""Great game, but the graphics could be better."",Online,7"
"Animal Crossing: New Horizons,35.2,Teens,44.27,Nintendo Switch,No,Rockstar Games,Take-Two Interactive,2016,Puzzle,Yes,41.1,Low,Good,Good,""Amazing game, but too many bugs."",Offline,10"
"Sid Meier�۪s Civilization VI,35.2,Adults,46.53,PlayStation,No,CD Projekt Red,Capcom,2023,Adventure,Yes,36.2,High,Poor,Good,""Solid game, but too many bugs."",Offline,3"
"Red Dead Redemption 2,21.6,Kids,34.42,Xbox,No,Epic Games,Innersloth,2010,Simulation,Yes,20.2,Medium,Good,Poor,""Solid game, but the graphics could be better."",Offline,4"
"Tomb Raider (2013),30.9,All Ages,56.01,Mobile,Yes,Innersloth,Take-Two Interactive,2021,RPG,No,6.2,Medium,Poor,Average,""Amazing game, but the graphics could be better."",Online,2"
"Fortnite,31.9,Kids,49.85,Nintendo Switch,No,Innersloth,Square Enix,2023,Party,No,28.9,Ultra,Poor,Good,""Amazing game, but the gameplay is amazing."",Online,10"
"Animal Crossing: New Horizons,24.7,Kids,29.25,PlayStation,Yes,EA Sports,Valve,2022,Action,No,38.6,High,Good,Poor,""Amazing game, but too many bugs."",Online,10"
"Pok̩mon Scarlet & Violet,29.2,All Ages,31.31,Xbox,No,Epic Games,Square Enix,2022,Fighting,No,42.1,High,Poor,Good,""Amazing game, but the graphics could be better."",Offline,4"
"Hades,28.8,Adults,24.14,Nintendo Switch,Yes,Valve,Square Enix,2020,Party,No,51.5,High,Excellent,Average,""Solid game, but the graphics could be better."",Offline,10"
"Stardew Valley,43.8,All Ages,49.95,PlayStation,Yes,EA Sports,Nintendo,2020,Puzzle,No,59.3,Ultra,Average,Poor,""Amazing game, but the gameplay is amazing."",Online,6"
"Ghost of Tsushima,17.2,Teens,26.6,PC,Yes,Valve,Electronic Arts,2016,RPG,Yes,16.8,Low,Average,Poor,""Solid game, but too many bugs."",Offline,4"
"Tetris,27.5,Adults,41.5,PC,Yes,CD Projekt Red,Epic Games,2020,Adventure,Yes,20.4,Ultra,Good,Average,""Great game, but the gameplay is amazing."",Offline,5"
"Stardew Valley,39.6,Kids,42.15,Xbox,Yes,Rockstar Games,Nintendo,2023,Adventure,Yes,58.4,Ultra,Poor,Good,""Solid game, but the graphics could be better."",Online,4"
"Kingdom Hearts III,19.7,All Ages,33.52,PlayStation,Yes,Capcom,Capcom,2019,Action,No,7.2,Ultra,Good,Good,""Amazing game, but the graphics could be better."",Offline,5"
"Pok̩mon Scarlet & Violet,44.1,Adults,57.68,Mobile,Yes,Nintendo,Innersloth,2014,Adventure,No,53.3,Medium,Poor,Average,""Solid game, but the gameplay is amazing."",Offline,2"
"Red Dead Redemption 2,37.0,Kids,58.4,Nintendo Switch,No,CD Projekt Red,Epic Games,2018,Action,Yes,30.2,Medium,Excellent,Poor,""Great game, but the graphics could be better."",Online,3"
"Super Smash Bros. Ultimate,31.9,All Ages,42.18,Mobile,Yes,Nintendo,Take-Two Interactive,2017,Shooter,No,40.0,Medium,Average,Excellent,""Disappointing game, but the gameplay is amazing."",Online,3"
"The Witcher 3: Wild Hunt,32.1,Adults,50.77,Xbox,No,Nintendo,Valve,2021,Sports,No,17.0,Medium,Excellent,Poor,""Disappointing game, but the gameplay is amazing."",Offline,8"
"Halo Infinite,38.7,All Ages,47.34,PC,No,Epic Games,Epic Games,2023,Party,No,50.3,Medium,Good,Excellent,""Solid game, but the gameplay is amazing."",Online,3"
"Spelunky 2,44.4,Teens,58.02,PC,No,Innersloth,Activision,2011,Simulation,Yes,57.1,Low,Excellent,Good,""Amazing game, but the gameplay is amazing."",Online,3"
"Minecraft,16.4,Adults,21.79,Xbox,Yes,Rockstar Games,Square Enix,2013,Simulation,No,16.7,Medium,Excellent,Poor,""Great game, but the graphics could be better."",Online,8"
"Pok̩mon Scarlet & Violet,38.3,Adults,44.81,Mobile,Yes,CD Projekt Red,Innersloth,2020,Sports,Yes,48.2,Ultra,Average,Poor,""Solid game, but too many bugs."",Online,6"
"Tetris,39.8,Teens,41.45,Mobile,No,EA Sports,Valve,2015,Simulation,No,59.8,High,Average,Average,""Disappointing game, but too many bugs."",Offline,4"
"League of Legends,42.1,All Ages,56.22,PC,No,Epic Games,Innersloth,2015,Adventure,No,50.3,High,Good,Good,""Disappointing game, but the graphics could be better."",Online,6"
"Street Fighter V,31.6,Kids,50.57,Nintendo Switch,No,Valve,Take-Two Interactive,2013,Party,Yes,26.7,High,Poor,Average,""Disappointing game, but too many bugs."",Offline,1"
"Spelunky 2,38.5,Adults,52.73,Mobile,No,Valve,Take-Two Interactive,2012,Strategy,No,36.2,High,Average,Poor,""Solid game, but too many bugs."",Online,10"
"Minecraft,42.8,Kids,54.11,PC,No,Nintendo,Electronic Arts,2020,Adventure,No,48.5,Ultra,Poor,Good,""Disappointing game, but too many bugs."",Offline,5"
"League of Legends,30.5,Teens,53.8,Nintendo Switch,No,Valve,Electronic Arts,2012,Strategy,Yes,9.4,High,Good,Poor,""Solid game, but too many bugs."",Online,1"
"Minecraft,30.6,Adults,25.62,Nintendo Switch,Yes,Game Freak,Take-Two Interactive,2012,Puzzle,No,58.4,High,Good,Excellent,""Solid game, but too many bugs."",Online,2"
"Halo Infinite,22.6,Adults,36.95,Mobile,Yes,Rockstar Games,Nintendo,2018,Puzzle,Yes,17.4,High,Poor,Average,""Great game, but the graphics could be better."",Offline,1"
"Tekken 7,29.3,All Ages,44.05,Mobile,No,Rockstar Games,Epic Games,2022,Sports,No,29.6,Ultra,Average,Poor,""Great game, but the graphics could be better."",Online,1"
"Halo Infinite,42.2,Teens,47.76,Xbox,Yes,Nintendo,Activision,2010,Fighting,No,59.5,High,Excellent,Average,""Disappointing game, but too many bugs."",Offline,6"
"Hades,29.7,Adults,40.33,Mobile,No,Bungie,Epic Games,2022,Sports,No,30.3,Medium,Average,Average,""Amazing game, but the gameplay is amazing."",Online,3"
"Super Mario Odyssey,29.7,Kids,34.42,PlayStation,Yes,Epic Games,Innersloth,2013,Simulation,Yes,43.2,Medium,Poor,Excellent,""Amazing game, but the graphics could be better."",Online,3"
"Pillars of Eternity II: Deadfire,29.8,All Ages,26.63,PC,No,CD Projekt Red,Square Enix,2020,Shooter,No,54.9,Ultra,Good,Average,""Solid game, but the gameplay is amazing."",Online,4"
"Call of Duty: Modern Warfare 2,35.3,All Ages,59.32,PlayStation,Yes,Innersloth,Epic Games,2015,Puzzle,No,24.9,Low,Excellent,Average,""Solid game, but too many bugs."",Offline,10"
"Street Fighter V,21.8,Adults,35.8,PlayStation,No,Capcom,Nintendo,2018,Puzzle,Yes,9.0,High,Average,Average,""Solid game, but the graphics could be better."",Online,8"
"Mario Kart 8 Deluxe,29.9,Kids,34.19,PlayStation,Yes,Game Freak,Square Enix,2015,Adventure,Yes,46.3,High,Poor,Poor,""Disappointing game, but the graphics could be better."",Online,1"
"Stardew Valley,28.5,Teens,51.04,Mobile,No,Valve,Innersloth,2023,Strategy,No,11.1,Low,Poor,Good,""Solid game, but too many bugs."",Offline,7"
"Rocket League,23.3,Kids,35.12,Xbox,Yes,Capcom,Capcom,2017,Shooter,Yes,18.3,High,Excellent,Excellent,""Great game, but the gameplay is amazing."",Offline,10"
"Super Smash Bros. Ultimate,27.2,All Ages,21.07,Nintendo Switch,Yes,Rockstar Games,Capcom,2018,Puzzle,No,56.7,High,Poor,Average,""Disappointing game, but the gameplay is amazing."",Offline,4"
"Call of Duty: Modern Warfare 2,43.3,All Ages,57.28,Xbox,Yes,Bungie,Square Enix,2014,Sports,No,53.5,High,Excellent,Average,""Great game, but the graphics could be better."",Offline,6"
"The Sims 4,25.4,Adults,25.18,Mobile,Yes,Capcom,Capcom,2017,Strategy,Yes,40.3,Ultra,Average,Poor,""Solid game, but too many bugs."",Offline,1"
"Animal Crossing: New Horizons,45.0,Adults,55.81,Xbox,No,Nintendo,Capcom,2021,Action,Yes,57.7,Ultra,Good,Average,""Amazing game, but too many bugs."",Online,3"
"Stardew Valley,32.0,Kids,35.21,Xbox,No,Bungie,Activision,2021,RPG,Yes,48.6,High,Average,Average,""Disappointing game, but too many bugs."",Online,4"
"Tomb Raider (2013),22.9,Adults,44.58,Mobile,Yes,Capcom,Capcom,2010,Sports,Yes,7.0,Ultra,Average,Good,""Great game, but too many bugs."",Online,10"
"Fall Guys,37.3,Kids,59.69,PC,No,Nintendo,Valve,2021,Puzzle,Yes,20.2,High,Good,Average,""Solid game, but too many bugs."",Online,8"
"League of Legends,39.5,All Ages,51.37,Mobile,Yes,Rockstar Games,Capcom,2019,Simulation,No,43.2,Low,Excellent,Average,""Solid game, but the gameplay is amazing."",Online,2"
"Spelunky 2,27.0,Adults,50.87,Xbox,Yes,Capcom,Nintendo,2020,Puzzle,Yes,8.3,Low,Average,Poor,""Great game, but too many bugs."",Offline,4"
"Halo Infinite,22.1,Adults,38.17,Mobile,No,Nintendo,Valve,2012,Strategy,No,6.6,Low,Good,Poor,""Great game, but the gameplay is amazing."",Online,3"
"Overwatch 2,30.4,Adults,23.02,Nintendo Switch,Yes,Innersloth,Activision,2020,RPG,Yes,58.9,Ultra,Poor,Poor,""Great game, but too many bugs."",Offline,4"
"Hades,34.5,All Ages,38.63,Xbox,Yes,Valve,Innersloth,2016,Simulation,Yes,46.8,Low,Average,Poor,""Disappointing game, but too many bugs."",Offline,4"
"Hitman 3,25.9,Kids,41.83,Mobile,Yes,Valve,Take-Two Interactive,2023,Sports,Yes,10.5,High,Excellent,Average,""Solid game, but the gameplay is amazing."",Offline,8"
"Spelunky 2,41.4,Teens,54.86,Mobile,No,EA Sports,Electronic Arts,2017,Strategy,Yes,46.6,High,Excellent,Excellent,""Disappointing game, but the gameplay is amazing."",Offline,4"
"Overwatch 2,37.6,All Ages,44.89,PlayStation,Yes,Innersloth,Activision,2013,Party,Yes,56.3,Ultra,Excellent,Average,""Solid game, but too many bugs."",Offline,10"
"The Witcher 3: Wild Hunt,19.0,All Ages,29.39,PlayStation,No,Epic Games,Epic Games,2018,Sports,Yes,8.3,Low,Good,Average,""Great game, but the gameplay is amazing."",Online,5"
"Pillars of Eternity II: Deadfire,26.7,Teens,37.83,Xbox,Yes,Epic Games,Nintendo,2011,Simulation,Yes,32.1,Medium,Good,Poor,""Amazing game, but the gameplay is amazing."",Online,2"
"Fortnite,37.7,All Ages,54.72,PC,Yes,EA Sports,Square Enix,2021,Party,Yes,33.5,Low,Poor,Average,""Amazing game, but the gameplay is amazing."",Offline,6"
"Tetris,27.7,Teens,28.55,Xbox,No,Innersloth,Electronic Arts,2014,Shooter,No,47.2,Low,Excellent,Good,""Great game, but too many bugs."",Online,10"
"Pillars of Eternity II: Deadfire,34.4,Adults,50.56,Nintendo Switch,Yes,Nintendo,Innersloth,2021,Party,No,25.2,Medium,Good,Poor,""Amazing game, but too many bugs."",Offline,5"
"Counter-Strike: Global Offensive,26.4,Kids,32.5,Xbox,Yes,Game Freak,Take-Two Interactive,2021,Fighting,No,37.9,Low,Excellent,Good,""Amazing game, but too many bugs."",Online,7"
"The Elder Scrolls V: Skyrim,20.0,Teens,32.59,Nintendo Switch,No,Rockstar Games,Take-Two Interactive,2021,Sports,Yes,7.6,Low,Good,Average,""Amazing game, but too many bugs."",Online,8"
"Grand Theft Auto V,30.9,Teens,34.94,PC,Yes,Epic Games,Square Enix,2011,Shooter,Yes,44.1,Medium,Average,Excellent,""Amazing game, but the graphics could be better."",Online,5"
"Pok̩mon Scarlet & Violet,27.8,All Ages,26.84,PC,Yes,Rockstar Games,Capcom,2023,Shooter,Yes,51.5,High,Excellent,Excellent,""Great game, but the graphics could be better."",Offline,3"
"The Witcher 3: Wild Hunt,21.4,Adults,29.26,Nintendo Switch,Yes,Game Freak,Electronic Arts,2016,Adventure,No,17.9,Low,Excellent,Poor,""Amazing game, but the graphics could be better."",Offline,8"
"Spelunky 2,38.5,All Ages,45.04,PlayStation,Yes,CD Projekt Red,Nintendo,2020,Strategy,Yes,57.6,Medium,Good,Poor,""Great game, but the gameplay is amazing."",Offline,5"
"Mario Kart 8 Deluxe,34.8,Kids,33.73,Xbox,No,Capcom,Electronic Arts,2022,Action,No,53.2,High,Average,Poor,""Great game, but the graphics could be better."",Online,8"
"Halo Infinite,22.4,Teens,21.34,PlayStation,No,Capcom,Nintendo,2019,Party,Yes,33.2,Low,Excellent,Poor,""Disappointing game, but the graphics could be better."",Online,6"
"Super Mario Odyssey,34.8,Teens,54.56,PC,Yes,Valve,Take-Two Interactive,2020,Shooter,No,22.5,Ultra,Average,Good,""Disappointing game, but the graphics could be better."",Offline,7"
"Spelunky 2,34.6,Adults,45.41,PlayStation,Yes,Epic Games,Nintendo,2014,Adventure,No,36.4,Medium,Good,Poor,""Amazing game, but too many bugs."",Offline,3"
"Pok̩mon Scarlet & Violet,24.1,Adults,20.69,Nintendo Switch,Yes,Valve,Epic Games,2012,Fighting,Yes,49.7,High,Good,Good,""Solid game, but too many bugs."",Online,3"
"Halo Infinite,34.8,Kids,53.1,PC,No,Valve,Square Enix,2011,Sports,Yes,27.3,High,Average,Poor,""Amazing game, but the graphics could be better."",Offline,3"
"The Elder Scrolls V: Skyrim,26.1,Kids,40.12,PlayStation,Yes,Innersloth,Capcom,2023,Strategy,No,21.9,High,Excellent,Excellent,""Solid game, but the graphics could be better."",Offline,7"
"Bioshock Infinite,25.3,Teens,24.89,Nintendo Switch,No,CD Projekt Red,Capcom,2020,Sports,Yes,43.8,Medium,Excellent,Poor,""Solid game, but the gameplay is amazing."",Offline,7"
